B1,79,Homogeneous,Bot,Player11,477.526
B1,79,Homogeneous,Bot,Remaining Players,260.154
B1,139,Majority,Bot,Player11,628.211
B1,139,Majority,Bot,Remaining Players,354.279
B1,199,Minority,Bot,Player11,1113.54
B1,199,Minority,Bot,Remaining Players,304.273
B2,79,Homogeneous,Bot,Player11,0.666534
B2,79,Homogeneous,Bot,Remaining Players,536.481
B2,139,Minority,Bot,Player11,91.0867
B2,139,Minority,Bot,Remaining Players,689.502
B2,199,Majority,Bot,Player11,1050.44
B2,199,Majority,Bot,Remaining Players,231.921
B3,79,Minority,Bot,Player11,250.964
B3,79,Minority,Bot,Remaining Players,377.418
B3,139,Majority,Bot,Player11,44.1344
B3,139,Majority,Bot,Remaining Players,189.963
B3,199,Homogeneous,Bot,Player11,280.153
B3,199,Homogeneous,Bot,Remaining Players,360.066
B4,79,Minority,Bot,Player11,0
B4,79,Minority,Bot,Remaining Players,241.806
B4,139,Homogeneous,Bot,Player11,294.573
B4,139,Homogeneous,Bot,Remaining Players,783.615
B4,199,Majority,Bot,Player11,876.676
B4,199,Majority,Bot,Remaining Players,266.917
B5,79,Majority,Bot,Player11,561.399
B5,79,Majority,Bot,Remaining Players,373.184
B5,139,Minority,Bot,Player11,1026.32
B5,139,Minority,Bot,Remaining Players,414.592
B5,199,Homogeneous,Bot,Player11,98.122
B5,199,Homogeneous,Bot,Remaining Players,504.658
B6,79,Majority,Bot,Player11,12.5002
B6,79,Majority,Bot,Remaining Players,304.084
B6,139,Homogeneous,Bot,Player11,1094.22
B6,139,Homogeneous,Bot,Remaining Players,854.37
B6,199,Minority,Bot,Player11,293.978
B6,199,Minority,Bot,Remaining Players,606.962
B7,79,Homogeneous,Bot,Player11,845.094
B7,79,Homogeneous,Bot,Remaining Players,388.537
B7,139,Majority,Bot,Player11,32.0681
B7,139,Majority,Bot,Remaining Players,423.206
B7,199,Minority,Bot,Player11,28.36
B7,199,Minority,Bot,Remaining Players,523.74
B8,79,Homogeneous,Bot,Player11,369.997
B8,79,Homogeneous,Bot,Remaining Players,420.878
B8,139,Minority,Bot,Player11,1117.15
B8,139,Minority,Bot,Remaining Players,528.41
B8,199,Majority,Bot,Player11,693.286
B8,199,Majority,Bot,Remaining Players,367.188
B9,79,Minority,Bot,Player11,48.225
B9,79,Minority,Bot,Remaining Players,207.058
B9,139,Majority,Bot,Player11,822.955
B9,139,Majority,Bot,Remaining Players,631.986
B9,199,Homogeneous,Bot,Player11,900.996
B9,199,Homogeneous,Bot,Remaining Players,638.114
B10,79,Minority,Bot,Player11,17.3636
B10,79,Minority,Bot,Remaining Players,243.255
B10,139,Homogeneous,Bot,Player11,1115.75
B10,139,Homogeneous,Bot,Remaining Players,764.636
B10,199,Majority,Bot,Player11,785.813
B10,199,Majority,Bot,Remaining Players,383.317
B11,79,Majority,Bot,Player11,902.576
B11,79,Majority,Bot,Remaining Players,288.878
B11,139,Minority,Bot,Player11,159.128
B11,139,Minority,Bot,Remaining Players,779.115
B11,199,Homogeneous,Bot,Player11,661.377
B11,199,Homogeneous,Bot,Remaining Players,430.104
B12,79,Majority,Bot,Player11,430.262
B12,79,Majority,Bot,Remaining Players,263.016
B12,139,Homogeneous,Bot,Player11,943.659
B12,139,Homogeneous,Bot,Remaining Players,593.309
B12,199,Minority,Bot,Player11,52.6794
B12,199,Minority,Bot,Remaining Players,436.739
